School_Year,LEA_Name,School_Name,LEA_Code,School_Code,LEA_ID_NCES,School_Type_State,School_Type_NCES,Web_Site,Charter_Status,SY_Start_School_Opp_Status,School_Address_Mailing_2,School_City,ZIP_Code_Mailing,School_Address_Location_1,School_Address_Location_2,School_ZIP_Code_Location,PreK_3,Prek_4,Preschool,Kindergarten,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12,Ungraded,No_Grade,Grade_Adult,F53,MAR_MATCHADDRESS,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,MAR_WARD,MAR_CENSUS_TRACT,MAR_ZIPCODE,MARID,MAR_ERROR,MAR_SCORE,MAR_SOURCEOPERATION,MAR_IGNORE,latitude,longitude,ward,census_tract
2012-2013,AppleTree Early Learning Center PCS,AppleTree Early Learning Center PCS Riverside,103,141,1100054,Regular school,Regular School,www.appletreeinstitute.org,Yes,Open,NULL,Washington,20024,680 I Street SW,NULL,20024,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NULL,680 I STREET SW,398098.08,134559.17,38.87886344,-77.02191921,Ward 6,10200,20024,276717,,100,DC Address,,38.87886344,-77.02191921,Ward 6,10200
2012-2013,Bridges PCS,Bridges PCS,107,142,1100055,Regular school,Regular School,www.bridgespcs.org,Yes,Open,NULL,Washington,20011,1250 Taylor St NW,NULL,20011,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NULL,1250 TAYLOR STREET NW,397518.47,141401.5,38.94050005,-77.02862381,Ward 4,2502,20011,224852,,100,DC Address,,38.94050005,-77.02862381,Ward 4,2502
2012-2013,E.L. Haynes PCS,E L  Haynes PCS Georgia Avenue,116,146,1100043,Regular school,Regular School,www.elhaynes.org,Yes,Open,NULL,Washington,20010,3600 Georgia Ave. NW,NULL,20010,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,3600 GEORGIA AVENUE NW,397898.05,140715.53,38.93432162,-77.02424335,Ward 1,3100,20010,306085,,100,DC Address,,38.93432162,-77.02424335,Ward 1,3100
2012-2013,Booker T. Washington PCS,Booker T  Washington PCS,106,151,1100003,Regular school,Regular School,www.btwschool.org,Yes,Open,NULL,Washington,20009,1346 Florida Av NW,NULL,20009,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,NULL,1346 FLORIDA AVENUE NW,397295.64,139117.57,38.91992504,-77.03118509,Ward 1,4400,20009,240288,,100,DC Address,,38.91992504,-77.03118509,Ward 1,4400
2012-2013,Cesar Chavez PCS,Cesar Chavez Capitol Hill PCS,109,153,1100005,Regular school,Regular School,www.chavezschools.org,Yes,Open,NULL,Washington,20003,709 12th St SE,NULL,20003,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,NULL,709 12TH STREET SE,400812.11,134762.27,38.88069473,-76.99064037,Ward 6,7100,20003,76726,,100,DC Address,,38.88069473,-76.99064037,Ward 6,7100
2012-2013,Friendship PCS,Friendship PCS Chamberlain,120,155,1100008,Regular school,Regular School,www.friendshipschools.org,Yes,Open,NULL,Washington,20003,1345 Potomac Avenue SE,NULL,20003,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,NULL,1345 POTOMAC AVENUE SE,401145.15,134616.92,38.87938499,-76.9868023,Ward 6,7100,20003,66334,,100,DC Address,,38.87938499,-76.9868023,Ward 6,7100
2012-2013,Friendship PCS,Friendship PCS Woodridge Campus,120,156,1100008,Regular school,Regular School,www.friendshipschools.org,Yes,Open,NULL,Washington,20018,2959 Carlton Avenue NE,NULL,20018,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,2959 CARLTON AVENUE NE,402903.45,140185.72,38.92954664,-76.9665146,Ward 5,11100,20018,42808,,100,DC Address,,38.92954664,-76.9665146,Ward 5,11100
2012-2013,Friendship PCS,Friendship PCS Blow Pierce,120,157,1100008,Regular school,Regular School,www.friendshipschools.org,Yes,Open,NULL,Washington,20002,725 19th St  NE,NULL,20002,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,725 19TH STREET NE,402040.17,136663.58,38.89782045,-76.97648125,Ward 7,7903,20002,288919,,100,DC Address,,38.89782045,-76.97648125,Ward 7,7903
2012-2013,Community Academy PCS,Community Academy Amos II,113,158,1100007,Regular school,Regular School,www.capcs.org,Yes,Open,NULL,Washington,20011,33 Riggs Rd NE,NULL,20011,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,NULL,33 RIGGS ROAD NE,399424.65,143002.17,38.95492264,-77.00663786,Ward 5,9508,20011,155991,,100,DC Address,,38.95492264,-77.00663786,Ward 5,9508
2012-2013,Elsie Whitlow Stokes Communtiy Freedom PCS,Elsie Whitlow Stokes Communtiy Freedom PCS,144,159,1100009,Regular school,Regular School,www.ewstokes.org,Yes,Open,NULL,Washington,20017,3700 Oakview Terrace NE,NULL,20017,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,NULL,3700 OAKVIEW TERRACE NE,400859.44,140789.48,38.93498987,-76.99008735,Ward 5,9504,20017,289754,,100,DC Address,,38.93498987,-76.99008735,Ward 5,9504
2012-2013,Hospitality PCS,Hospitality PCS,122,160,1100010,Vocational Shared Time,Regular School,www.washingtonhospitality.org,Yes,Open,3rd Floor,Washington,20011,4301 13th Street NW,3rd Floor,20011,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,NULL,4301 13TH STREET NW,397468.88,141682.3,38.94302943,-77.02919685,Ward 4,2501,20011,252605,,100,DC Address,,38.94302943,-77.02919685,Ward 4,2501
2012-2013,Perry Street Prep PCS,Perry Street Prep PCS,125,161,1100011,Regular school,Regular School,www.pspdc.org,Yes,Open,NULL,Washington,20018,1800 Perry Street NE,NULL,20018,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,NULL,1800 PERRY STREET NE,401855.75,140990.2,38.93679648,-76.97859551,Ward 5,9400,20018,294529,,100,DC Address,,38.93679648,-76.97859551,Ward 5,9400
2012-2013,Integrated Design Electronics Academy (IDEA) PCS,Integrated Design Electronics Academy IDEA PCS,126,163,1100013,Vocational Shared Time,Regular School,www.ideapcs.org,Yes,Open,NULL,Washington,20019,1027 45th St NE,NULL,20019,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,NULL,1027 45TH STREET NE,405455.53,137412.11,38.90454891,-76.93710358,Ward 7,7806,20019,75296,,100,DC Address,,38.90454891,-76.93710358,Ward 7,7806
2012-2013,Meridian PCS,Meridian PCS,135,165,1100015,Regular school,Regular School,https://mpcs.learningstation.com/school,Yes,Open,NULL,Washington,20009,2120 13th St NW,NULL,20009,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,2120 13TH STREET NW,397402.4,138987.03,38.91874942,-77.02995351,Ward 1,4400,20009,310205,,100,DC Address,,38.91874942,-77.02995351,Ward 1,4400
2012-2013,The Next Step PCS,The Next Step PCS,145,168,1100017,Regular school,Regular School,www.nextsteppcs.org,Yes,Open,NULL,Washington,20009,3047 15th St NW,NULL,20009,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,Y,NULL,3047 15TH STREET NW,396892.23,140071.02,38.92851269,-77.0358413,Ward 1,2802,20009,243343,,100,DC Address,,38.92851269,-77.0358413,Ward 1,2802
2012-2013,Options PCS,Options PCS,137,169,1100018,Regular school,Regular School,www.optionsschool.org,Yes,Open,NULL,Washington,20002,1375 E Street NE,NULL,20002,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,NULL,1375 E STREET NE,401195.97,136444.7,38.89585026,-76.98621343,Ward 6,8001,20002,286107,,100,DC Address,,38.89585026,-76.98621343,Ward 6,8001
2012-2013,Paul PCS,Paul JHS PCS,138,170,1100039,Regular school,Regular School,www.paulcharter.org,Yes,Open,NULL,Washington,20011,5800 8th Street NW,NULL,20011,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,NULL,5800 8TH STREET NW,397857.27,143717.65,38.96136545,-77.02472307,Ward 4,1901,20011,294613,,100,DC Address,,38.96136545,-77.02472307,Ward 4,1901
2012-2013,Roots PCS,Roots PCS,140,173,1100020,Regular school,Regular School,www.rootspcs.org,Yes,Open,NULL,Washington,20011,15 Kennedy St NW,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,15 KENNEDY STREET NW,399106.42,143217.68,38.95686375,-77.01030958,Ward 4,2102,20011,259404,,100,DC Address,,38.95686375,-77.01030958,Ward 4,2102
2012-2013,School for Educational Evolution and Development (SEED) PCS,School for Educational Evolution and Development (SEED) PCS,142,174,1100022,Regular school,Regular School,www.seedschooldc.org,Yes,Open,NULL,Washington,20019,4300 C Street SE,NULL,20019,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,NULL,4300 C STREET SE,404658.72,135477.99,38.88713024,-76.94630306,Ward 7,7703,20019,288154,,100,DC Address,,38.88713024,-76.94630306,Ward 7,7703
2012-2013,Washington Math Science & Technology (WMST) PCS,Washington Math Science Tech PCS,152,178,1100026,Regular school,Regular School,www.wmstpchs.net,Yes,Open,NULL,Washington,20002,1920 Bladensburg Road NE,NULL,20002,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,NULL,1920 BLADENSBURG ROAD NE,402273.07,138728.17,38.91641842,-76.97378958,Ward 5,11100,20002,286539,,100,DC Address,,38.91641842,-76.97378958,Ward 5,11100
2012-2013,Arts and Technology PCS,Arts and Technology PCS,104,181,1100001,Regular school,Regular School,www.artstechacademy.org,Yes,Open,NULL,Washington,20019,5300 Blaine Street NE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,5300 BLAINE STREET NE,406537.33,136014.15,38.89194821,-76.9246449,Ward 7,7808,20019,304054,,100,DC Address,,38.89194821,-76.9246449,Ward 7,7808
2012-2013,Tree of Life PCS,Tree of Life Community PCS,147,183,1100040,Regular school,Regular School,www.treeoflifepcs.org,Yes,Open,NULL,Washington,20018,2315 18th Pl NE,NULL,20018,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,2315 18TH PLACE NE,401921.82,139212.16,38.9207792,-76.97783843,Ward 5,11100,20018,48796,,100,DC Address,,38.9207792,-76.97783843,Ward 5,11100
2012-2013,Capital City PCS,Capital City Lower PCS,108,184,1100035,Regular school,Regular School,www.ccpcs.org,Yes,Open,NULL,Washington,20011,100 Peabody St NW,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,NULL,100 PEABODY STREET NW,398884.8,143806.18,38.96216486,-77.01286745,Ward 4,1902,20011,277545,,100,DC Address,,38.96216486,-77.01286745,Ward 4,1902
2012-2013,Friendship PCS,Friendship PCS Woodson Collegiate Academy,120,186,1100008,Vocational Shared Time,Regular School,www.friendshipschools.org,Yes,Open,NULL,Washington,20019,4095 Minnesota Avenue NE,NULL,20019,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,NULL,4095 MINNESOTA AVENUE NE,404654.26,136634.64,38.8975498,-76.94634663,Ward 7,7803,20019,288100,,100,DC Address,,38.8975498,-76.94634663,Ward 7,7803
2012-2013,Howard Road Academy PCS,Howard Road Academy PCS   Main Campus,123,188,1100029,Regular school,Regular School,www.HowardRoadAcademy.org,Yes,Open,NULL,Washington,20020,701 Howard Road SE,NULL,20020,N,N,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,NULL,701 HOWARD ROAD SE,400069.95,132932.97,38.86421603,-76.99919401,Ward 8,7401,20020,300872,,100,DC Address,,38.86421603,-76.99919401,Ward 8,7401
2012-2013,KIPP DC PCS,KIPP DC KEY Academy PCS,129,189,1100031,Regular school,Regular School,www.kippdc.org,Yes,Open,NULL,Washington,20019,4801 Benning Rd SE,NULL,20019,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,4801 BENNING ROAD SE,405692.28,134978.83,38.88262754,-76.93439427,Ward 7,9907,20019,17421,,100,DC Address,,38.88262754,-76.93439427,Ward 7,9907
2012-2013,Thurgood Marshall Academy PCS,Thurgood Marshall Academy PCS,146,191,1100034,Regular school,Regular School,www.thurgoodmarshallacademy.org,Yes,Open,NULL,Washington,20020,2427 Martin Luther King Jr Av SE,NULL,20020,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,NULL,2427 MARTIN LUTHER KING JR AVENUE SE,400548.01,132717.75,38.86227707,-76.99368577,Ward 8,7401,20020,278159,,100,DC Address,,38.86227707,-76.99368577,Ward 8,7401
2012-2013,Latin American Montessori Bilingual (LAMB) PCS,Latin American Montessori Bilingual (LAMB) PCS,130,193,1100032,Regular school,Regular School,www.lambpcs.org,Yes,Open,NULL,Washington,20011,1375 Missouri Ave NW,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,1375 MISSOURI AVENUE NW,397192.03,143806.16,38.96216089,-77.03239905,Ward 4,1804,20011,284010,,100,DC Address,,38.96216089,-77.03239905,Ward 4,1804
2012-2013,Eagle Academy PCS,Eagle Center,117,195,1100049,Regular school,Regular School,www.eagleacademypcs.org,Yes,Open,NULL,Washington,20032,3400 Wheeler Rd SE,NULL,20032,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,NULL,3400 WHEELER ROAD SE,400604.46,130274.71,38.84026907,-76.9930375,Ward 8,7304,20032,294566,,100,DC Address,,38.84026907,-76.9930375,Ward 8,7304
2012-2013,D.C. Preparatory Academy PCS,D C  Preparatory Edgewood Middle Campus PCS,115,196,1100048,Regular school,Regular School,www.dcprep.org,Yes,Open,NULL,Washington,20017,701 Edgewood St NE,NULL,20017,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,701 EDGEWOOD STREET NE,400346.07,139651.51,38.92473904,-76.99600905,Ward 5,9204,20017,289579,,100,DC Address,,38.92473904,-76.99600905,Ward 5,9204
2012-2013,Two Rivers PCS,Two Rivers PCS,149,198,1100045,Regular school,Regular School,www.tworiverspcs.org,Yes,Open,NULL,Washington,20002,1227 4th Street NE,NULL,20002,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,1227 4TH STREET NE,399974.01,137654.97,38.90675361,-77.00029965,Ward 6,10600,20002,306605,,100,DC Address,,38.90675361,-77.00029965,Ward 6,10600
2012-2013,D.C. Bilingual PCS,D C  Bilingual PCS,114,199,1100042,Regular school,Regular School,www.dcbilingual.org,Yes,Open,NULL,Washington,20009,1420 Columbia Rd NW,NULL,20009,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,1420 COLUMBIA ROAD NW,397111.88,139924.73,38.92719562,-77.0333075,Ward 1,2802,20009,234355,,100,DC Address,,38.92719562,-77.0333075,Ward 1,2802
2012-2013,District of Columbia Public Schools,Aiton ES,1,202,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,533 48th Pl  NE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,533 48TH PLACE NE,405751.28,136574.53,38.89700181,-76.93370092,Ward 7,7804,20019,294490,,100,DC Address,,38.89700181,-76.93370092,Ward 7,7804
2012-2013,District of Columbia Public Schools,Amidon Bowen  ES,1,203,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20024,401 Eye St  SW,NULL,20024,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,401 I STREET SW,398427.29,134631.47,38.8795154,-77.0181253,Ward 6,10200,20024,294482,,100,DC Address,,38.8795154,-77.0181253,Ward 6,10200
2012-2013,District of Columbia Public Schools,Bancroft ES,1,204,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20010,1755 Newton St  NW,NULL,20010,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,1755 NEWTON STREET NW,396483.93,140715.67,38.93431836,-77.04055344,Ward 1,2701,20010,294528,,100,DC Address,,38.93431836,-77.04055344,Ward 1,2701
2012-2013,District of Columbia Public Schools,Barnard ES,1,205,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20011,430 Decatur St  NW,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,430 DECATUR STREET NW,398458.99,142259.46,38.94823095,-77.01777708,Ward 4,2202,20011,248305,,100,DC Address,,38.94823095,-77.01777708,Ward 4,2202
2012-2013,District of Columbia Public Schools,Beers ES,1,206,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20020,3600 Alabama Ave  SE,NULL,20020,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,3600 ALABAMA AVENUE SE,403852.94,132948.76,38.86434984,-76.95560475,Ward 7,7604,20020,278406,,100,DC Address,,38.86434984,-76.95560475,Ward 7,7604
2012-2013,District of Columbia Public Schools,Brent ES,1,212,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20003,301 North Carolina Ave  SE,NULL,20003,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,301 NORTH CAROLINA AVENUE SE,399873.34,135218.08,38.88480121,-77.00145985,Ward 6,6500,20003,294479,,100,DC Address,,38.88480121,-77.00145985,Ward 6,6500
2012-2013,District of Columbia Public Schools,Brightwood EC,1,213,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20011,1300 Nicholson St  NW,NULL,20011,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,1300 NICHOLSON STREET NW,397340.19,143625.7,38.96053573,-77.03068885,Ward 4,2001,20011,294515,,100,DC Address,,38.96053573,-77.03068885,Ward 4,2001
2012-2013,District of Columbia Public Schools,Burroughs EC,1,220,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20018,1820 Monroe St  NE,NULL,20018,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,NULL,1820 MONROE STREET NE,401867.9,140624.56,38.93350266,-76.97845637,Ward 5,9400,20018,294530,,100,DC Address,,38.93350266,-76.97845637,Ward 5,9400
2012-2013,District of Columbia Public Schools,Burrville ES,1,221,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,801 Division Ave  NE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,801 DIVISION AVENUE NE,406552.65,136970.78,38.90056577,-76.92445918,Ward 7,7807,20019,289787,,100,DC Address,,38.90056577,-76.92445918,Ward 7,7807
2012-2013,District of Columbia Public Schools,Cleveland ES,1,224,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20001,1825 8th St  NW,NULL,20001,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,1825 8TH STREET NW,398030.71,138586.76,38.91514529,-77.02270718,Ward 1,4400,20001,294531,,100,DC Address,,38.91514529,-77.02270718,Ward 1,4400
2012-2013,District of Columbia Public Schools,H D Cooke ES,1,227,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20009,2525 17th St NW,NULL,20009,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,2525 17TH STREET NW,396634.55,139563.86,38.92394309,-77.03881058,Ward 1,3800,20009,235863,,100,DC Address,,38.92394309,-77.03881058,Ward 1,3800
2012-2013,District of Columbia Public Schools,Davis ES,1,229,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,4430 H St  SE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,4430 H STREET SE,405412.99,134583.53,38.87906828,-76.93761631,Ward 7,7707,20019,294598,,100,DC Address,,38.87906828,-76.93761631,Ward 7,7707
2012-2013,District of Columbia Public Schools,Drew ES,1,231,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,5600 Eads St  NE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,5600 EADS STREET NE,406946.23,136463.61,38.89599397,-76.91992701,Ward 7,7807,20019,277686,,100,DC Address,,38.89599397,-76.91992701,Ward 7,7807
2012-2013,District of Columbia Public Schools,Eaton ES,1,232,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20008,3301 Lowell St  NW,NULL,20008,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,3301 LOWELL STREET NW,394293.04,140540.3,38.93272707,-77.06582114,Ward 3,600,20008,294562,,100,DC Address,,38.93272707,-77.06582114,Ward 3,600
2012-2013,District of Columbia Public Schools,Garfield ES,1,238,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20020,2435 Alabama Ave  SE,NULL,20020,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,2435 ALABAMA AVENUE SE,402534.22,131547.71,38.85173338,-76.97080478,Ward 8,7408,20020,278160,,100,DC Address,,38.85173338,-76.97080478,Ward 8,7408
2012-2013,District of Columbia Public Schools,Garrison ES,1,239,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20009,1200 S St  NW,NULL,20009,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,1200 S STREET NW,397518.52,138448.81,38.91390129,-77.02861256,Ward 2,5001,20009,294509,,100,DC Address,,38.91390129,-77.02861256,Ward 2,5001
2012-2013,District of Columbia Public Schools,Hardy MS,1,246,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20007,1819 35th St  NW,NULL,20007,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,NULL,1819 35TH STREET NW,394049.46,138629.13,38.91550903,-77.0686139,Ward 2,202,20007,274432,,100,DC Address,,38.91550903,-77.0686139,Ward 2,202
2012-2013,District of Columbia Public Schools,C W  Harris ES,1,247,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,301 53rd St  SE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,301 53RD STREET SE,406410.5,135087.2,38.88359883,-76.9261155,Ward 7,9905,20019,289801,,100,DC Address,,38.88359883,-76.9261155,Ward 7,9905
2012-2013,District of Columbia Public Schools,Hendley ES,1,249,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20032,425 Chesapeake St  SE,NULL,20032,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,425 CHESAPEAKE STREET SE,400070.78,129022.18,38.82898591,-76.99918485,Ward 8,9811,20032,24445,,100,DC Address,,38.82898591,-76.99918485,Ward 8,9811
2012-2013,District of Columbia Public Schools,Houston ES,1,251,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,1100 50th Pl  NE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,1100 50TH PLACE NE,406076.15,137508.74,38.90541532,-76.92994765,Ward 7,7806,20019,156316,,100,DC Address,,38.90541532,-76.92994765,Ward 7,7806
2012-2013,District of Columbia Public Schools,Hyde Addison ES,1,252,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20007,3219 O St  NW,NULL,20007,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,3219 O STREET NW,394402.37,137797.48,38.90801957,-77.06453782,Ward 2,202,20007,294558,,100,DC Address,,38.90801957,-77.06453782,Ward 2,202
2012-2013,District of Columbia Public Schools,Janney ES,1,254,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20016,4130 Albemarle St  NW,NULL,20016,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,4130 ALBEMARLE STREET NW,392978.88,142186.88,38.94755042,-77.08099483,Ward 3,1001,20016,285713,,100,DC Address,,38.94755042,-77.08099483,Ward 3,1001
2012-2013,District of Columbia Public Schools,Kenilworth ES,1,256,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,1300 44th St NE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,1300 44TH STREET NE,405161.97,137820.44,38.90822907,-76.94048494,Ward 7,9601,20019,294516,,100,DC Address,,38.90822907,-76.94048494,Ward 7,9601
2012-2013,District of Columbia Public Schools,Ketcham ES,1,257,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20020,1919 15th St  SE,NULL,20020,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,1919 15TH STREET SE,401421.44,133135.87,38.86604269,-76.98362116,Ward 8,7503,20020,286537,,100,DC Address,,38.86604269,-76.98362116,Ward 8,7503
2012-2013,District of Columbia Public Schools,Hearst ES,1,258,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20008,3950 37th St  NW,NULL,20008,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,3950 37TH STREET NW,393761.89,141428.28,38.94072265,-77.07195522,Ward 3,600,20008,294586,,100,DC Address,,38.94072265,-77.07195522,Ward 3,600
2012-2013,District of Columbia Public Schools,Kimball ES,1,259,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20019,3375 Minnesota Ave  SE,NULL,20019,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,3375 MINNESOTA AVENUE SE,403681.18,135028.21,38.88308309,-76.95757271,Ward 7,9901,20019,294565,,100,DC Address,,38.88308309,-76.95757271,Ward 7,9901
2012-2013,District of Columbia Public Schools,Lafayette ES,1,261,1100030,Regular school,Regular School,www.dcps.dc.gov,No,Open,NULL,Washington,20015,5701 Broad Branch Rd  NW,NULL,20015,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,NULL,5701 BROAD BRANCH ROAD NW,394103.71,144303.7,38.96662755,-77.06803712,Ward 4,1500,20015,294611,,100,DC Address,,38.96662755,-77.06803712,Ward 4,1500
