"Comments","School.Year","NCES_KEY","EID","LEA.Name","SchoolName","LEA_ID..State.","SChool_ID.State.","LEA.ID..NCES.","School.ID..NCES.","Longitundal.LEA","Longitudinal.School","Adjusted.School.ID","School.Type..State.","School.Type..NCSE.","Web.Site","Telephone.Number","Charter.Status","SY_Start_School_Opp_Status","Updated_School_Opp_Status","Updated_Opp_Status_Effective_Date","School.Address.Mailing","School.Address.Mailing.2","School.City.Mailing..ID.8.N029.","ZIP.Code.Mailing","School.ZIP.Code.Location","School.Address.Location.1","School.Address.Location.2","School.ZIP.Code.Plus.4.Mailing","School.City.Location","State.Abbreviation.Location","School.ZIP.Code.Plus.4.Location","PreK.3","Prek.4","Preschool","Kindergarten","Grade.1","Grade.2","Grade.3","Grade.4","Grade.5","Grade.6","Grade.7","Grade.8","Grade.9","Grade.10","Grade.11","Grade.12","Ungraded","No.Grade","Grade.Adult","lon","lat"
"","2011-2012",110005400413,"1a618a6b","AppleTree Early Learning Center PCS","AppleTree Early Learning Center PCS Riverside",103,141,1100054,413,103,141,141,"Regular school","Regular school","www.appletreeinstitute.org","(202) 646-0500","Yes","Open","Open","27-Jan-12","680 I Street SW","","Washington","20024","20024","680 I Street SW","",NA,"Washington","DC",NA,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",-77.0222077,38.878722
"","2011-2012",110000100215,"7fb9d691","Arts and Technology PCS","Arts and Technology PCS",104,181,1100001,215,104,181,181,"Regular school","Regular school","www.artstechacademy.org","202-398-6811","Yes","Open","Open","27-Jan-12","5300 Blaine Street NE","","Washington","20019","20019","5300 Blaine Street NE","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-76.9250733,38.891986
"","2011-2012",110003000084,"f08d65fd","District of Columbia Public Schools","Ballou SHS",1,452,1100030,84,1,452,452,"Vocational Shared Time","Regular school","www.dcps.dc.gov","202-645-3400","No","Open","Open","27-Jan-12","3401 4th St  SE","","Washington","20032","20032","3401 4th St  SE","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N",-76.999977,38.839791
"","2011-2012",110003000207,"57ea79dc","District of Columbia Public Schools","Ballou STAY",1,462,1100030,207,1,462,462,"Alternative Education School","Alternative Education School","www.dcps.dc.gov","202-645-3390","No","Open","Open","27-Jan-12","3401 4th St SE","","Washington","20032","20032","3401 4th St  SE","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y",-76.999977,38.839791
"","2011-2012",110003000120,"2082e193","District of Columbia Public Schools","Bancroft ES",1,204,1100030,120,1,204,204,"Regular school","Regular school","www.dcps.dc.gov","202-673-7280","No","Open","Open","27-Jan-12","1755 Newton St  NW","","Washington","20010","20010","1755 Newton St  NW","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-77.0410383,38.9342591
"","2011-2012",110003000119,"d2dc859f","District of Columbia Public Schools","Barnard ES",1,205,1100030,119,1,205,205,"Regular school","Regular school","www.dcps.dc.gov","202-576-1100","No","Open","Open","27-Jan-12","430 Decatur St  NW","","Washington","20011","20011","430 Decatur St  NW","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N",-77.018458,38.9479619
"","2011-2012",110008300443,"9c2a0343","Basis DC PCS","Basis DC PCS",168,3068,1100083,443,168,3068,3068,"Regular school","Regular school","www.basisdc.org","(202) 422-6164","Yes","Future School","Future School","27-Jan-12","1314 Wallach Place NW","","Washington","20009","20009","1314 Wallach Place NW","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N","N","N","N","N",-77.0302345,38.9161054
"","2011-2012",110003000118,"dd726bdb","District of Columbia Public Schools","Beers ES",1,206,1100030,118,1,206,206,"Regular school","Regular school","www.dcps.dc.gov","202-939-4800","No","Open","Open","27-Jan-12","3600 Alabama Ave  SE","","Washington","20020","20020","3600 Alabama Ave  SE","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-76.9567466,38.8626921
"","2011-2012",110003000153,"3647dc2a","District of Columbia Public Schools","Benjamin Banneker Academy HS",1,402,1100030,153,1,402,402,"Magnet School","Regular school","www.dcps.dc.gov","202-671-6320","No","Open","Open","27-Jan-12","800 Euclid St  NW","","Washington","20001","20001","800 Euclid St  NW","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N",-77.0240414,38.9239844
"","2011-2012",110000300217,"46f9211d","Booker T. Washington PCS","Booker T  Washington PCS",106,151,1100003,217,106,151,151,"Regular school","Regular school","www.btwschool.org","202-232-6090","Yes","Open","Open","27-Jan-12","1346 Florida Avenue NW","","Washington","20009","20009","1346 Florida Av NW","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","Y",-77.031051,38.9201271
"","2011-2012",110003000113,"6c60266f","District of Columbia Public Schools","Brent ES",1,212,1100030,113,1,212,212,"Regular school","Regular school","www.dcps.dc.gov","202-698-3363","No","Open","Open","27-Jan-12","301 North Carolina Ave  SE","","Washington","20003","20003","301 North Carolina Ave  SE","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-77.001452,38.885191
"","2011-2012",110005500305,"67bfdeee","Bridges PCS","Bridges PCS",107,142,1100055,305,107,142,142,"Regular school","Regular school","www.bridgespcs.org","202-545-0515","Yes","Open","Open","27-Jan-12","1250 Taylor Street NW","","Washington","20011","20011","1250 Taylor St NW","",NA,"Washington","DC",NA,"N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",-77.0285562,38.9407081
"","2011-2012",110003000112,"29e7687d","District of Columbia Public Schools","Brightwood ES",1,213,1100030,112,1,213,213,"Regular school","Regular school","www.dcps.dc.gov","202-722-5670","No","Open","Open","27-Jan-12","1300 Nicholson St NW","","Washington","20011","20011","1300 Nicholson St  NW","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N",-77.0306783,38.9602913
"Nancy Notes from 2011/12 SY: Bunker Hill is technically closed and consolidated with Brookland but serving as swing space for Brookland - - but the building is in use; now a PK-7, will be PK8 next year;  Bunker Hill is being renovated.  School took Brookland's ID (346).","2011-2012",110003000111,"2d5fb0de","District of Columbia Public Schools","Brookland at Bunker Hill ES",1,346,1100030,111,1,346,346,"Regular school","Regular school","www.dcps.dc.gov","202-576-6222","No","Open","Open","27-Jan-12","1150 Michigan Ave  NE","","Washington","20017","20017","1401 Michigan Ave  NE","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N",-76.9849069,38.9423913
"","2011-2012",110003000152,"88ee8c83","District of Columbia Public Schools","Browne EC",1,404,1100030,152,1,404,404,"Regular school","Regular school","www.dcps.dc.gov","202-671-6210","No","Open","Open","27-Jan-12","850 26th St  NE","","Washington","DC","20010","850 26th St  NE","",20002,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-76.9702379,38.9019013
"","2011-2012",110003000110,"bf17edfc","District of Columbia Public Schools","Bruce Monroe ES",1,296,1100030,110,1,296,296,"Regular school","Regular school","www.dcps.dc.gov","202-576-6222","No","Open","Open","27-Jan-12","3560 Warder St  NW","","Washington","20010","20010","3560 Warder St  NW","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N",-77.0211703,38.9346231
"","2011-2012",110003000107,"75e08b42","District of Columbia Public Schools","Burroughs ES",1,220,1100030,107,1,220,220,"Regular school","Regular school","www.dcps.dc.gov","202-576-6150","No","Open","Open","27-Jan-12","1820 Monroe St  NE","","Washington","20018","20018","1820 Monroe St  NE","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-76.977968,38.933609
"","2011-2012",110003000106,"333c853b","District of Columbia Public Schools","Burrville ES",1,221,1100030,106,1,221,221,"Regular school","Regular school","www.dcps.dc.gov","202-671-6020","No","Open","Open","27-Jan-12","801 Division Ave  NE","","Washington","20019","20019","801 Division Ave  NE","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","Y","N","N",-76.9250617,38.8999187
"","2011-2012",110003000185,"672e7ce4","District of Columbia Public Schools","C W  Harris ES",1,247,1100030,185,1,247,247,"Regular school","Regular school","www.dcps.dc.gov","202-645-3188","No","Open","Open","27-Jan-12","301 53rd St  SE","","Washington","20019","20019","301 53rd St  SE","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-76.9261824,38.8836953
"","2011-2012",110003500414,"934fa3c0","Capital City PCS","Capital City  Upper PCS",108,1101,1100035,414,108,1101,1101,"Regular school","Regular school","www.ccpcs.org","202-387-1102","Yes","Open","Open","27-Jan-12","3029 14th Street NW","","Washington","20009","20009","3029 14th Street NW","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N",-77.0324851,38.9283357
"","2011-2012",110003500253,"45d6beea","Capital City PCS","Capital City Lower PCS",108,184,1100035,253,108,184,184,"Regular school","Regular school","www.ccpcs.org","202-387-0309","Yes","Open","Open","27-Jan-12","3047 15th Street NW","","Washington","20009","20009","3047 15th Street NW","",NA,"Washington","DC",NA,"N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N",-77.035802,38.928461
"Naomi Watson (DCPS) requested this school","2011-2012",110003000446,"d168f9c0","District of Columbia Public Schools","Capitol Hill Montessori School at Logan",1,360,1100030,446,1,360,360,"Regular school","Regular school","www.dcps.dc.gov","202-698-4467","No","New","Open","27-Jan-12","215 G Street NE","","Washington","20002","20002","215 G Street NE","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-77.00257,38.8987472
"","2011-2012",110003000082,"df6a80fb","District of Columbia Public Schools","Cardozo SHS",1,454,1100030,82,1,454,454,"Vocational Shared Time","Regular school","www.dcps.dc.gov","202-673-7385","No","Open","Open","27-Jan-12","1200 Clifton St  NW","","Washington","20009","20009","1200 Clifton St  NW","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N",-77.0295995,38.9223911
"","2011-2012",110000400218,"b26d35de","Carlos Rosario International PCS","Carlos Rosario International PCS Harvard Street Campus",162,1119,1100004,218,162,1119,1119,"Adult Education","Regular school","www.carlosrosario.org","(202)-797-4700","Yes","Open","Open","27-Jan-12","1100 Harvard St NW","","Washington","20009","20009","1100 Harvard St NW","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y",-77.027464,38.926565
"","2011-2012",110000400420,"732814e1","Carlos Rosario International PCS","Carlos Rosario International PCS S Street Campus",162,1134,1100004,420,162,1134,1134,"Adult Education","Regular school","www.carlosrosario.org","(202)-797-4700","Yes","Open","Open","27-Jan-12","1501 Columbia Road NW","","Washington","20009","20009","1501 Columbia Road NW","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y",-77.0355433,38.9270575
"","2011-2012",110007300400,"76379d28","Center City PCS","Center City Brightwood Campus PCS",156,1103,1100073,400,156,1103,1103,"Regular school","Regular school","www.centercitypcs.org","202-723-3322","Yes","Open","Open","27-Jan-12","6008 Georgia Avenue NW","","Washington","20011","20011","6008 Georgia Avenue NW","",NA,"Washington","DC",NA,"N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N",-77.028238,38.962848
"","2011-2012",110007300393,"37a090fd","Center City PCS","Center City Capitol Hill Campus PCS",156,1104,1100073,393,156,1104,1104,"Regular school","Regular school","www.centercitypcs.org","202-547-7556","Yes","Open","Open","27-Jan-12","1503 East Capitol Street SE","","Washington","20003","20003","1503 East Capitol Street SE","",NA,"Washington","DC",NA,"N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N",-76.9835156,38.8897391
"","2011-2012",110007300412,"81b30982","Center City PCS","Center City Congress Heights Campus PCS",156,1105,1100073,412,156,1105,1105,"Regular school","Regular school","www.centercitypcs.org","202-562-7070","Yes","Open","Open","27-Jan-12","220 High View Place SE","","Washington","20032","20032","220 High View Place SE","",NA,"Washington","DC",NA,"N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N",-77.0042864,38.8415659
"","2011-2012",110007300395,"ba0eaa2c","Center City PCS","Center City Petworth Campus PCS",156,1106,1100073,395,156,1106,1106,"Regular school","Regular school","www.centercitypcs.org","202-726-9212","Yes","Open","Open","27-Jan-12","510 Webster Street NW","","Washington","20011","20011","510 Webster Street NW","",NA,"Washington","DC",NA,"N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N",-77.0199238,38.9441557
"","2011-2012",110007300404,"be7b4cbc","Center City PCS","Center City Shaw Campus PCS",156,1107,1100073,404,156,1107,1107,"Regular school","Regular school","www.centercitypcs.org","202-234-1093","Yes","Open","Open","27-Jan-12","711 N Street NW","","Washington","20001","20001","711 N Street NW","",NA,"Washington","DC",NA,"N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N",-77.0224288,38.9073692
"","2011-2012",110007300403,"26b4aa6a","Center City PCS","Center City Trinidad Campus PCS",156,1108,1100073,403,156,1108,1108,"Regular school","Regular school","www.centercitypcs.org","202-397-1614","Yes","Open","Open","27-Jan-12","1217 W  Virginia Avenue NE","","Washington","20002","20002","1217 W  Virginia Avenue NE","",NA,"Washington","DC",NA,"N","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N",-76.991479,38.905386
"Bruce Campus (MS) was split out of Parkside in the 0708 year","2011-2012",110000500377,"c021f65c","Cesar Chavez PCS","Cesar Chavez Bruce Campus Prep PCS",109,127,1100005,377,109,127,127,"Regular school","Regular school","www.chavezschools.org","202-397-1614","Yes","Open","Open","27-Jan-12","3220 16th Street NW","","Washington","20010","20010","3220 16th Street NW","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-77.0370689,38.9313657
"","2011-2012",110000500456,"9d315d73","Cesar Chavez PCS","Cesar Chavez Parkside HS PCS",109,109,1100005,456,109,109,109,"Regular School","Regular School","www.chavezschools.org","202-398-2230","Yes","New","New","New","3701 Haynes St  NE","","Washington","20019","20019","3701 Haynes St  NE","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N",-76.948992,38.901508
"","2011-2012",110000500328,"5e8028db","Cesar Chavez PCS","Cesar Chavez Parkside MS PCS",109,102,1100005,328,109,102,102,"Regular school","Regular school","www.chavezschools.org","202-547-3975","Yes","Open","Open","27-Jan-12","3701 Haynes St  NE","","Washington","20019","20019","3701 Haynes St  NE","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N",-76.948992,38.901508
"","2011-2012",110000500219,"8e3192ac","Cesar Chavez PCS","Cesar Chavez Capitol Hill PCS",109,153,1100005,219,109,153,153,"Regular school","Regular school","www.chavezschools.org","202-547-3424","Yes","Open","Open","27-Jan-12","709 12th Street SE","","Washington","20003","20003","709 12th Street SE","",NA,"Washington","DC",NA,"Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",-76.9904482,38.8806332
"Choice at Douglass (HS) and Choice at Taft (MS) became Choice MS/HS at the end of the 0708 year and got a new ID","2011-2012",110003000418,"fb213ec0","District of Columbia Public Schools","CHOICE Academy MS/SHS",1,947,1100030,418,1,947,947,"Alternative Education School","Alternative Education School","www.dcps.dc.gov","202-939-4350","No","Open","Open","27-Jan-12","2600 Douglass Rd  SE","","Washington","20020","20020","2600 Douglass Rd SE","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","N","N","N",-76.9906094,38.856572
"","2011-2012",110003000103,"300fb591","District of Columbia Public Schools","Cleveland ES",1,224,1100030,103,1,224,224,"Regular school","Regular school","www.dcps.dc.gov","202-939-4380","No","Open","Open","27-Jan-12","1825 8th St  NW","","Washington","20001","20001","1825 8th St  NW","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-77.0229258,38.9148224
"","2011-2012",110003000396,"7b629091","District of Columbia Public Schools","Columbia Heights EC",1,442,1100030,396,1,442,442,"Magnet School","Regular school","www.dcps.dc.gov","202-939-7700","No","Open","Open","27-Jan-12","3101 16th St  NW","","Washington","20010","20010","3101 16th St  NW","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","N","N",-77.035464,38.929437
"","2011-2012",110000700221,"d01b3328","Community Academy PCS","Community Academy Amos I",113,105,1100007,221,113,105,105,"Regular school","Regular school","www.capcs.org","(202) 723-4100","Yes","Open","Open","27-Jan-12","1300 Allison St NW","","Washington","20011","20011","1300 Allison Street NW","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-77.030868,38.944517
"","2011-2012",110000700353,"6aa9934b","Community Academy PCS","Community Academy Amos II",113,158,1100007,353,113,113,113,"Regular school","Regular school","www.capcs.org","202-723-5136","Yes","Open","Open","27-Jan-12","33 Rigs Road NE","","Washington","20011","20011","33 Riggs Rd NE","",NA,"Washington","DC",NA,"N","N","N","Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N",-77.0078277,38.9550306
"","2011-2012",110000700398,"d6297f56","Community Academy PCS","Community Academy Amos III Amstrong",113,1109,1100007,398,113,1109,1109,"Regular school","Regular school","www.capcs.org","202-234-2122","Yes","Open","Open","27-Jan-12","1400 1st Street NW","","Washington","20001","20001","1400 1st Street NW","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-77.013005,38.909101
"","2011-2012",110000700370,"f81ff79a","Community Academy PCS","Community Academy Butler Bilingual",113,106,1100007,370,113,106,106,"Regular school","Regular school","www.capcs.org","202-332-6565","Yes","Open","Open","27-Jan-12","5 Thomas Circle NW","","Washington","20005","20005","5 Thomas Circle NW","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",-77.032163,38.906547
"","2011-2012",110000700380,"812bb761","Community Academy PCS","Community Academy Online",113,108,1100007,380,113,108,108,"Regular school","Regular school","www.capcs.org","540-788-1492","Yes","Open","Open","27-Jan-12","1351 Nicolas St  NW","","Washington","20011","20011","1351 Nicolas St NW","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-77.0315186,38.960291
"","2011-2012",110000700361,"6973bf42","Community Academy PCS","Community Academy Rand Tech",113,107,1100007,361,113,107,107,"Regular school","Regular school","www.capcs.org","202-723-4010","Yes","Open","Open","27-Jan-12","1351 Nicolas St  NW","","Washington","20011","20011","1351 Nicolas St NW","",NA,"Washington","DC",NA,"N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",-77.0315186,38.960291
"","2011-2012",110003000095,"d1380700","District of Columbia Public Schools","Consolidated Headstart",1,225,1100030,95,1,225,225,"Regular school","Regular school","www.dcps.dc.gov","(202) 442-5555","No","Open","Open","27-Jan-12","823 N  Capitol St","","Washington","20002","20002","823 N  Capitol St","",NA,"Washington","DC",NA,"N","Y","N","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-77.0089901,38.9009358
"","2011-2012",110003000100,"f96d6c21","District of Columbia Public Schools","Cooke H D  ES at K C  Lewis",1,227,1100030,100,1,227,227,"Regular school","Regular school","www.dcps.dc.gov","(202) 939-5390","No","Open","Open","27-Jan-12","300 Bryant St  NW","","Washington","20001","20001","300 Bryant St  NW","",NA,"Washington","DC",NA,"Y","Y","Y","Y","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N",-77.0164395,38.9205024
"","2011-2012",110003000081,"61639bcb","District of Columbia Public Schools","Coolidge SHS",1,455,1100030,81,1,455,455,"Vocational Shared Time","Regular school","www.dcps.dc.gov","202-671-6080","No","Open","Open","27-Jan-12","6315 5th St  NW","","Washington","20011","20011","6315 5th St  NW","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","Y","Y","N","N","N",-77.0197387,38.9662055
"","2011-2012",110008400440,"b20fcade","Creative Minds PCS","Creative Minds PCS",169,3069,1100084,440,169,3069,3069,"Regular school","Regular school","http://www.creativemindspcs.org/","(202) 716 7261","Yes","Future School","Future School","27-Jan-12","3224 16th Street NW","","Washington","20010","20010","3224 16th Street NW","",NA,"Washington","DC",NA,"N","N","Y","Y","Y","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N",-77.036919,38.931399
"","2011-2012",110004200273,"a61461b2","D.C. Bilingual PCS","D C  Bilingual PCS",114,199,1100042,273,114,199,199,"Regular school","Regular school","www.centronia.org","(202) 332-4200","Yes","Open","Open","27-Jan-12","1420 Columbia Road NW","","Washington","20009","20009","1420 Columbia Rd NW","",NA,"Washington","DC",NA,"N","N","N","N","N","N","N","Y","Y","Y","Y","Y","N","N","N","N","N","N","N",-77.0333585,38.9273232
